tweetsad,,,,,y
1487856366.4921057::RT @vivekagnihotri: Morning when I crossed Shiv Sena Bhavn there was unprecedented jubilation.On my way back there was dullness. You are st\u2026,,,,,0
1487856366.6952112::@lostinohio1 @HuffingtonPost @zachdcarter he's in it waist deep. Sad!],,,,,0
1487856366.8358593::RT @Liam_O_Hare: Hate speech? You led a campaign of hate, fear and suspicion of immigrants that led to *actual* violence on the stre\u2026 ,,,,0
1487856366.8514547::@Ottagonia @joe_warmington no moderate muslim can speak out against an Imam or mosque because of the fear of the penalty for apostay,,,,,0
1487856366.9139552::SHET@abdullahciftcib: Rusya: 3 sad,,,,,0
1487856367.1014657::why you keep changing acc?naega so sad :  ,,,,,0
1487856369.1670067::hate that theres not a gas station within a 2 minute walk now,,,,,0
1487856369.1825182::RT @TheAn1meMan: I've made it a goal this year to dab in as many pictures as possible and see how many angry and disappointed comments I ca\u2026,,,,,0
1487856369.1825182::I hate this feeling \ud83d\ude14\ud83d\udc94,,,,,0
1487856369.1825182::@MoetBlindCat @CasperDaPersian @Louiewestie @aferrier46 me hate it!!! u get in truble too Casper!,,,,,0
1487856369.1981552::RT @mikandynothem: The election of Trump did not CREATE the Left's hate. \nIt REVEALED what was always there.\n#MAGA #tcot #FoxNews https:\/\/t\u2026,,,,,0
1487856369.1981552::Once again._TheFilm an eye-opener to the ill effects of blind following of the west.,,,,,0
1487856369.2137804::RT @leanderxvince: I hate you because I love you.,,,,,0
1487856369.2137804::#news Sri Lanka 'hunting' refugees who sheltered Snowden in Hong Kong: Sri Lankan asylum seekers in Hong Kong fear,,,,,0
1487856369.901346::RT @_indzil: JYL AMADO," GR 10 CO-CHAIR S.Y 2017-2018\n\n\""Te jill! Ayaw naghilak te ba! Unsaon nalng ni nako? Di ni nako makaya kung ikaw sad",,,,0
1487856369.901346::it's taken me like a month to watch season 8 of spn i hate school,,,,,0
1487856369.901346::That #stormdoris is horrendous. One thing I hate is wind. Don't mind any other weather apart from that ,,,,,0
1487856370.7270362::I hate driving in the rain 1487856370.8988373::RT @eemanabbasi: Seventh bombing in one week in Pakistan. May God ease the lives of all those who live w fear under constant terror.,,,,,0
1487856370.914443::RT @scottbix: Nearly 60% of trans people avoid using public restrooms for fear of harassment; one in three literally avoid EATING,,,,,0
1487856371.3207989::bruh shut yo retarded ass up 1487856371.9458046::RT @RawStory: Experts fear ISIS arrest will distract from domestic threats like white supremacists and militias,,,,,0
1487856371.961334::@ChrisCuomo this election was based on fear. False Evidence Appears Real.,,,,,0
1487856371.961334::RT @DRUDGE_REPORT: GOOGLE launches robo-tool to flag hate speech online... ,,,,,0
1487856371.961334::@Luke_Turner That is so sad ,,,,,0
1487856371.9769578::Ppl dat type lyk dis make me ill,,,,,0
1487856374.3496575::RT @BraddJaffy: Here's the problem w\/the \u201cpaid protester\u201d narrative. This guy is a pig farmer whom Grassley greets as an old friend. ,,,,,0
1487856374.4122028::RT @Peston: Why do many who would hate to be called racist think it's OK to make casually nasty anti-Welsh remarks? Happens all the time. ,,,,,0
1487856375.0334773::@CBCCanada isn't it sad we graduate more #lawyers than #doctors? What is cost of everyone suing everyone else to get way?,,,,,0
1487856376.5894487::RT @LeonFestinger: What's morally repugnant is your apathy towards Palestinians and your rabid islamophobia @michaelgove h,,,,,0
1487856377.2290072::RT @AJEnglish: Mapping hate: The rise of hate groups in the US ,,,,,0
1487856377.4789276::Wow I hate myself so much lol,,,,,0
"1487856377.4789276::@angeee_cunanan nyaman mag absent sad""",,,,,0
1487856378.385093::RT @JimOBrienWX: This story is gut wrenching!  So terribly sad...I hope justice comes for these two angels! ,,,,,0
1487856378.4163454::RT @bIessly: I HATE BEING LIED TO I'M SUCH AN UNDERSTANDING PERSON I'M ONLY GONNA GET UPSET IF U KEEP SHIT FROM ME,,,,,0
"1487857458.8965778::@LabourEoin @Free___Thinker #CopelandByElection #copeland decent man Corbyn but completely unelectable;think they r now3rd party inScotland""",,,,,1
1487857459.140005::RT @LaurendReid: Good morning one and all!! \u2600\ufe0f Just sharing my instastories because it makes me happy &amp; hope it will make you too \u263a\ufe0f https:\u2026,,,,,1
"1487857459.146015::@RobinGaming I need more than just Mario\/Zelda games to make me pay $300 for a new console If they had better 3rd party support I'd buy it""",display_text_range:[13,"138]description"":""Welcome to Josh Gaming! Here you'll find tons of gameplay from some of the latest and coolest games", source filmmaker animations, and more!! Hope you enjoy!,1
1487857459.2311373::RT @sexualgifs_: victoria secrets done dropped the full dick appointment set,,,,,1
1487857459.4849274::RT @chubu_hottest: 1487857459.863682::RT @shionnu10: [NEXT LIVE\uff01]\n3\u670818\u65e5(\u571f) \u718a\u672cHAPPY JACK,,,,,1
1487857459.972944::RT @ats_oorer: ONE OK ROCK 1487857459.988571::@iamokaynow @LauraSc16048694 @bundytr5 Many thanks to you as well, Ms. Deb! Happy Thursday to you!,,,,1
1487857460.1448562::RT @exabcexex:  Soul Brothers \/ HAPPY ,,,,,1
1487857460.3168128::RT @TheComedyHumor: When someone tells you to chill ,,,,,1
1487857460.4261873::RT @kyungsoo_stan: Tomorrow at 11am, EXO will arrived here in Manila. And also tomorrow at 11am, I have a class and also a quiz. SO TELL ME,,,1
1487857460.8949301::DNC chair candidates spar on future of party as race tightens #Basketball,,,,,1
1487857460.9104586::naked newsreader #nadia bjorlin sex scene ,,,,,1
1487857461.2287703::RT @ChrisEvans: Today Chris Wallace put truth before party. Regardless of your affiliation, his loyalty to the truth is something w,,,,1
1487857461.2287703::@NicoRomero23 happy birthday nico, love u ,,,,1
1487857461.2287703::Fully agree. I'm not getting either. That's not the point though. ,,,,,1
1487857461.2443652::Vlone + Off white = happy Life ,,,,,1
1487857461.2443652::Great to see the guys @Arcade_Beers enjoy #criticaltemperature,,,,,1
1487857461.2443652::Meow,I want to have sex  ! Click,don't be shy-Sagittarius cheer many up with their contagious happy spirit.,,,1
1487857461.2756183::I'm to young to work my ass off as much as I do and get nothing out of it. I need to enjoy myself.,,,,,1
1487857461.650691::RT @AlgabreJan: @piecesofchi congrats, so happy for u\ud83d\ude0a #DestinedToBeYoursIn4Days,,,,1
1487857461.650691::RT @dzulfahljh: Thanks IKEA for understanding that I'm broke this holiday https:\/\/t.co\/Xjr8wSopKt,,,,,1
1487857461.666249::Be part of the Red Army family 2mrw at wankulukuku @ExpressFCUganda VS,,,,,1
1487857461.666249::RT @Koreaboo: Happy Birthday Nam Joo Hyuk!! #HappyNamJooHyukDay ,,,,,1
1487857461.666249::Happy G Day To da big homie \ud83d\udcaa\ud83c\udffd. Boss up,,,,,1
1487857462.779459::RT @RGFM80: If you\u2019re happy, fuck what others think.,,,,1
1487857462.779459::grannie having sex #guyana girls porn ,,,,,1
1487857462.779459::@laforzadiliam Buy\/stream:,,,,,1
1487857462.7949746::RT @xofreddyxo: at this point in my life if you aren't making me happy you gotta go .,,,,,1
1487857462.7949746::RT @dhinzesq: Time you enjoy wasting is not wasted time.,,,,,1
1487857462.7949746::RT @mypink_pussy: View the Full video clip here &gt;,,,,,1
1487857462.8106174::A happy #smile for a #happy day.\,,,,,1
1487857462.8106174::Managed to get a full time job yet?Sadly not yet :( ,,,,,1
"1487857462.8106174::https:\/\/t.co\/zWeMrmA5cR #xxx #live #amateur #nsfw #teen #camgirl #camshow #adult #ass #porno #nude #milf #sex https:\/\/t.co\/wZz2qtDDZz""",display_text_range,,,,1
1487857462.8262248::RT @elijahdaniel: hi piers, yes that's me. and ur that terrible human pillowcase full of cottage cheese, right?,,,1
1487857462.8262248::RT @hhairieeeee: Look at your mom's face then you will automatically happy for no reason,,,,,1
"1487857462.8418674::@jiyjyp thank you for welcoming me! Of course I will enjoy my stay here if you treat me foods everyday :]""",display_text_range:[8,105],"source:""\u003ca href=\""http:\/\/twitter.com\/download\/android\"" rel=\""nofollow\""\u003eTwitter for star in Ep. 3 of @adidasfootball's ",,1
1487857463.2736819::RT @MariePlatel: Happy bday to my bff ,,,,,1
1487857463.289293::RT @iamrae1989: lalalalalalalalalalala  This every weekday. Happy! ,,,,,1
1487857463.289293::RT @WhennBoys: Divorce is SO SCARY. I pray to God that the person I decide to marry, I am always happy &amp; absolutely in love with for the r,,,,1
1487857463.3049033::RT @asn585: @AldubAbeth @AMInaticsOFC @OFCALDubKoTo @MsBanatera @heaslepagdangan @GuilloShiela @viaaramil @wieanciano73 STRONG ,,,,,1
1487857463.3049033::RT @MrsPandP: The  @TurquoiseUK Holiday Company #Honeymoon Sale 2017... 13th  - 28th February ,,,,,1
1487857463.3049033::Duo dreadlock #dreadlocks #ayodolan #dolan #ngalas #nglutus #nglayap #ngluyur #holiday,,,,,1
1487857463.744771::RT @hoodopulence: Me when the professor teaching a lecture and somebody having a full blown convo in the back,,,,,1
1487857463.7603555::RT @novemberregen_: Those deluxe boxes sold out twice, it makes me so happy and proud !,,,,1
1487857463.7759402::RT @RGFM80: If you happy, fuck what others think.,,,,1
1487857463.7915342::anal sex clips ,,,,,1
1487857463.7915342::Because the party of static conservatism is a detriment to ANYTHING PRogressive,,,,,1
1487857464.2380445::lollipop66 #whore #sex #sexy #horny #slut #pussy #ass #booty #fuck ,,,,,1
1487857464.253669::RT @marko_pjaca20: So happy for the goal and even more for the win \ud83d\udcaa\u26bd\ufe0f #FinoAllaFine #ForzaJuve #greatgame #greatnight #greatwin https:\/\/t.\u2026,,,,,1
1487857464.2691915::RT @induct: Being happy doesn't mean that everything is perfect. It means that you've decided to look beyond the imperfections.,,,,,1
1487857464.2691915::Glen Ellyn Juniors to host 'Parents' Night Out' ,,,,,1
1487857464.5192022::RT @sweetatertot2: African American man posted this on Facebook &amp; I thought he was 100% spot on in his description of the failing Dem,,,,,1
1487857464.5192022::RT @HarleyQuinnIvyy: HAPPY BIRTHDAY@JokerXHarley_ I HOPE YOU GET EVERYTHING THAT YOU WANT AND I CANT WAIT TO SEE YOU,,,,,1
1487857464.534819::#handy man sex nake australian girls https:\/\/t.co\/UrY1vqJ08t,,,,,1
1487857464.534819::RT @amjoyshow: #AMJoy is back w\/controversy over #Trump's new Labor Sec. nominee's involvement in giving sex criminal Jeff Epstein,,,,,1
1487857464.5504456::Just heard someone greet someone with Merry Christmas and Happy New Year. At this point it's just too late.,,,,,1
1487857464.847355::RT @rainbowbearlou: niall znowu nie przyszed\u0142 na gale ale pojawi\u0142 na after party, typowy niall,,,,1
1487857464.847355::Want vulgar, young man !  Push,don't be shy  ,,,1
1487857464.8629465::#HSlut aur muslim bf masti ,,,,,1
1487857464.8629465::@LolitaStripes doing who knows what with her cherry, well it's safe to say Neo will only violate a,,,,1
